"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order"
4882,11729782,2318,11.8406557343248,0.384664481440438,1688400,0.005,10,0.1,"11729758",2
4969,11729818,1757,5.06535223790163,0.212297956915236,8364600,0.005,10,0.1,"11729778",1
4738,11729814,1025,5.91435432561332,0.236621496381506,11940300,0.005,10,0.1,"11729792",1
4852,11729822,1208,5.52651165994893,0.225649732192442,10174500,0.005,10,0.1,"11729808",1
4737,11729840,2054,7.1230146905626,0.269515500136219,19006200,0.005,10,0.1,"11729814",1
4851,11729834,703,5.93984076225314,0.237334798849015,12176100,0.005,10,0.1,"11729822",1
4850,11729848,1417,6.77595944035165,0.260254721634105,16918200,0.005,10,0.1,"11729834",1
4736,11729900,4445,8.14352609230308,0.295997336772901,26669700,0.005,10,0.1,"11729840",1
4849,11729866,1366,7.35306198001504,0.275579442788903,20764800,0.005,10,0.1,"11729848",1
4848,11729886,1022,7.78678907319321,0.286859968587104,23990400,0.005,10,0.1,"11729866",1
4847,11729892,1067,8.29356766270058,0.299804421491715,28102500,0.005,10,0.1,"11729886",1
4846,11729954,5435,9.41045808639561,0.327526613112024,38793600,0.005,10,0.1,"11729892",1
4975,11729924,1070,6.2599724555966,0.246217974661178,14211900,0.005,10,0.1,"11729912",1
5010,11729348,112,4.974806634973,0.20963432884428,8183700,0.005,10,0.1,"11730010",1
4895,11730020,1511,4.76242915016423,0.203328861278721,7396200,0.005,10,0.1,"11730014",1
4894,11730034,1093,5.32599027457791,0.219886880129137,9792900,0.005,10,0.1,"11730020",1
4880,11730088,6291,7.96196877311154,0.291362320912338,26914500,0.005,10,0.1,"11730044",1
4644,11730072,2789,9.42201948053266,0.327808233490345,40569300,0.005,10,0.1,"11730060",1
4943,11730078,1988,6.42808794082073,0.250828179276143,15762600,0.005,10,0.1,"11730066",1
4879,11730100,722,8.25152769067969,0.29873981792725,29468700,0.005,10,0.1,"11730088",1
4878,11730126,2097,8.62513535067028,0.308145054682237,32998500,0.005,10,0.1,"11730100",1
4916,11730290,382,5.69153031136862,0.230345321683983,11934900,0.005,10,0.1,"11730196",1
4777,11729712,1094,9.34878098128768,0.326022481569446,1008900,0.005,10,0.1,"11730232",2
5009,11730200,338,5.70710613313953,0.230786405627548,12019500,0.005,10,0.1,"11730290",1
4989,11729554,1886,7.09693126639915,0.268824271991877,18600300,0.005,10,0.1,"11730344",1
4906,11730210,794,5.90177894351457,0.236269202820651,12782700,0.005,10,0.1,"11730356",1
1500,11734531,235,6.8321319212903,0.261763102516214,12832200,0.005,10,0.1,"11734527",1
1499,11734541,1198,7.36168705491471,0.275805679523998,15478200,0.005,10,0.1,"11734531",1
1498,11734543,590,8.10476128880913,0.295010326739193,19702800,0.005,10,0.1,"11734541",1
2084,11734747,2073,8.6490605505262,0.308743138943476,23241600,0.005,10,0.1,"11734543",1
1789,11734587,2218,7.27142851261359,0.273434226936551,3035700,0.005,10,0.1,"11734579,11734583",2
1482,11734595,1359,8.97410328042497,0.316820155909316,1859400,0.005,10,0.1,"11734587",2
1481,11734599,314,9.08262837377776,0.319497261754664,109800,0.005,10,0.1,"11734595",2
1480,11734647,7922,11.7424238771818,0.382427827537444,14523300,0.005,10,0.1,"11734599,11734601",2
1904,11734627,614,6.22333681203212,0.24520841672573,10946700,0.005,10,0.1,"11734621",1
1478,11734633,477,6.53479032161507,0.253735491587649,12347100,0.005,10,0.1,"11734625",1
1903,11734733,859,6.3616586035048,0.249010872701231,11577600,0.005,10,0.1,"11734627",1
1477,11734645,3207,7.18645374211284,0.271193516855348,15703200,0.005,10,0.1,"11734633",1
1764,11734737,1041,8.51577714227394,0.30540494181546,668700,0.005,10,0.1,"11734637,11734733",2
1476,11734661,531,13.0861231176697,0.412559659850816,630000,0.005,10,0.1,"11734645,11734647",2
1475,11734965,2094,13.3566336939862,0.418511089201453,3709800,0.005,10,0.1,"11734661",2
1754,11734555,2415,7.88892680098596,0.289488694300372,18849600,0.005,10,0.1,"11734725",1
2085,11734751,116,9.07791472443256,0.319381185143201,26243100,0.005,10,0.1,"11734747",1
1497,11734549,845,9.43309060319431,0.328077814346501,28926000,0.005,10,0.1,"11734751",1
1910,11734651,499,2.70756703330329,0.136938167318463,1412100,0.005,10,0.1,"11734759",1
1587,11734979,227,7.62181041656568,0.282591931870716,19258200,0.005,10,0.1,"11734971",1
1918,11737583,25,3.07825240800998,0.149806969459899,1965600,0.005,10,0.1,"11734977",1
1586,11734991,650,8.05023227201315,0.293619535169316,22105800,0.005,10,0.1,"11734979",1
1585,11735015,1074,8.35983673026634,0.301479312288414,24329700,0.005,10,0.1,"11734991",1
1584,11735017,2135,9.42484785757868,0.327877113254318,32984100,0.005,10,0.1,"11735015",1
1583,11735007,869,10.1645970095955,0.345686305013024,39897900,0.005,10,0.1,"11735017",1
1787,11735071,1003,5.59923179760346,0.227724088152717,9283500,0.005,10,0.1,"11735069",1
1465,11735085,326,9.52241527619716,0.330249402909941,90000,0.005,10,0.1,"11735077,11737403",2
1464,11737407,378,9.72526053434262,0.335158262435296,77400,0.005,10,0.1,"11735085",2
1591,11735121,1007,7.66774715549101,0.283783086212452,19804500,0.005,10,0.1,"11735089",1
1590,11735167,1059,8.17458490768409,0.29678712402997,23121900,0.005,10,0.1,"11735121",1
1386,11735157,860,6.18808640885204,0.244235347050195,11534400,0.005,10,0.1,"11735131",1
1385,11735207,1317,7.03907672842828,0.2672883612933,15911100,0.005,10,0.1,"11735157",1
1382,11735215,2443,7.05105192562926,0.267606586300052,16206300,0.005,10,0.1,"11735161",1
1589,11735293,3368,8.85962961161846,0.313985762134847,28099800,0.005,10,0.1,"11735167",1
1868,11735199,436,5.00090805171358,0.210403649097441,6065100,0.005,10,0.1,"11735181",1
1920,11735203,591,5.49337734647759,0.224701856986304,8556300,0.005,10,0.1,"11735197",1
2185,6270184,5515,7.52844998251761,0.280164405242043,16974900,0.005,10,0.1,"11735199",1
1874,11737605,11,3.84348845255892,0.174995534019129,3604500,0.005,10,0.1,"11735205",1
1384,11735217,513,7.39308375396566,0.27662854809553,18001800,0.005,10,0.1,"11735207",1
1381,11735265,1674,9.75026401197894,0.335761210370602,1763100,0.005,10,0.1,"11735215,11735217",2
1877,11735239,1317,5.51269793137281,0.225254769871252,8697600,0.005,10,0.1,"11735219",1
1876,11735233,1308,6.33807878166649,0.24836443259603,12267000,0.005,10,0.1,"11735239",1
1380,11735317,915,9.93689681862799,0.340247235428417,495900,0.005,10,0.1,"11735265",2
